neg,neu,pos,compound,headline,time,label
0.0,0.914,0.086,0.1511,Don't fret Solana crew. Sam Bank-MAN Friedman will get us out of this bear market. All hail Sam!,1666323806,1
0.0,1.0,0.0,0.0,Solana Lab's funds are not on FTX,1668007364,0
0.0,1.0,0.0,0.0,Does FTX/Alameda really own 10% of the SOL supply??,1667965089,0
0.488,0.512,0.0,-0.4336,So will FTX dump?,1668056267,-1
0.0,0.714,0.286,0.34,Thoughts shared about SBF from a credible source.,1668052329,1
0.0,1.0,0.0,0.0,FTX Solana Wallets,1667866500,0
0.0,1.0,0.0,0.0,Binance not buying FTX,1668028791,0
0.072,0.928,0.0,-0.1027,Can someone give me the tldr on FTX’s effects on Sol? Hard to keep up with everything this week …,1668047683,-1
0.0,1.0,0.0,0.0,Why is sol so cheap rn? Is it to do with ftx?,1668078042,0
0.0,0.92,0.08,0.0772,You probably shouldn't stake on Binance or FTX unless you want Solana to become very centralized,1667926808,1
0.184,0.816,0.0,-0.2023,FTX Token ( FTT ) is too centralized. Risky for investors.,1667896742,-1
0.0,1.0,0.0,0.0,How to unwrap sollet BTC without FTX?,1667961844,0
0.0,1.0,0.0,0.0,"can we petition to sue Solana, ftx, and others",1668069123,0
0.0,0.855,0.145,0.1779,"Solana Labs, A US Corp, Didn’t Have Any Assets On FTX Exchange",1668066933,1
0.227,0.773,0.0,-0.7059,"Afaik, the FTX fiasco only affects SOL's price, not the actual viability of the blockchain. What's with the doomers? Am I missing something?",1668053382,-1
0.0,1.0,0.0,0.0,Thoughts on SBF??,1668021281,0
0.0,1.0,0.0,0.0,FTX Hack Sparks Revolution at Serum DEX as Solana Devs Plot Alameda's Ouster,1668311787,0
0.0,1.0,0.0,0.0,‎NFT and Chill: FTX and the Difference Between CeFi vs DeFi on Apple Podcasts,1668545778,0
0.162,0.736,0.102,-0.264,Is FTX US fine? Is it totally separate from the mess happening at FTX International?,1668360476,-1
0.0,1.0,0.0,0.0,why does you logo has so many similarities with FTX's logo?,1668411233,0
0.0,1.0,0.0,0.0,"Do not login to FTX, malware possible",1668226855,0
0.0,1.0,0.0,0.0,"Why is Anatoly so quite, what’s his take and what exchange of messages did he have with SBF recently?",1668326902,0
0.0,1.0,0.0,0.0,what exchange are you guys using to buy solana now that ftx drama happened?,1668186116,0
0.0,1.0,0.0,0.0,"ftx, doj, biden ,scam, sbf.",1668266437,0
0.0,1.0,0.0,0.0,Anyone thoughts on FTX bankruptcy?,1668189559,0
0.0,1.0,0.0,0.0,Does anyone have the wallet addresses for FTX?,1668569717,0
0.044,0.828,0.128,0.5346,"CZ is in talks to "" reduce further cascading negative effects of FTX, Binance is forming an industry recovery fund, to help projects who are otherwise strong, but in a liquidity crisis."" Solana fits this description. Anyone from here plan to join and ask about him assisting Solana? Link here.",1668425228,1
0.0,1.0,0.0,0.0,How it feels to trade #crypto when #FTX went jnsolvent. #SBF #viral #lol,1668370309,0
0.0,0.826,0.174,0.2732,Get funds out of FTX US as well if you haven't,1668141474,1
0.0,1.0,0.0,0.0,I Wonder who Made Money on the FTX Trades,1668121163,0
0.0,1.0,0.0,0.0,Official Solana Ecosystem updates page regarding the ongoing FTX situation,1668405037,0
0.172,0.828,0.0,-0.3612,Millions of $$$ are getting drained out of FTX delete the app immediately,1668228834,-1
0.0,1.0,0.0,0.0,You can still withdraw Sol from FTX US. They just filed for Bankruptcy,1668180801,0
0.0,1.0,0.0,0.0,'The King is dead': Inside the fall of FTX,1668347898,0
0.107,0.893,0.0,-0.0516,Possible trick to get funds out of FTX US right now,1668132157,-1
0.0,1.0,0.0,0.0,FTX impacts vs BTC decline,1668552793,0
0.098,0.727,0.176,0.1994,"Last week was a horrible one for the whole Solana ecosystem and lending has been impacted quite significantly by the FTX drama as well. Nevertheless, keep calm and never stop buidling.",1668440693,1
0.0,0.612,0.388,0.8052,"Don't get discouraged. As a Sol fan, you should celebrate the fall of FTX. Let us explain",1668454758,1
0.0,1.0,0.0,0.0,Star Atlas Impact From FTX:,1668217021,0
0.0,1.0,0.0,0.0,"After what happened to FTX, What exchanges would you rather stay away from",1668535927,0
0.0,1.0,0.0,0.0,Solana developers at FTXs office compound,1668288018,0
0.0,1.0,0.0,0.0,"After FTX, is this the next kingpin to fall?",1668437941,0
0.0,1.0,0.0,0.0,Do NOT access anything from FTX,1668233355,0
0.609,0.391,0.0,-0.7783,Solana Discloses Losses From FTX Collapse - The Defiant,1668518959,-1
0.0,0.783,0.217,0.3612,Perspective of what it was like to be under SBF,1668428672,1
0.35,0.65,0.0,-0.796,“They seem to be moving everything”. FTX fully hacked. All funds being drained. SOL full dump likely impending,1668229904,-1
0.0,1.0,0.0,0.0,Multicoin Capital letter to LPs regarding FTX; Lots of SOLANA Information.,1668135013,0
0.0,1.0,0.0,0.0,Star Atlas Impacted by FTX Insolvency:,1668216730,0
0.0,1.0,0.0,0.0,Solana in FTX,1668482416,0
0.201,0.629,0.17,-0.128,We made a NFT collection to help projects recover from the FTX collapse.,1669057563,-1
0.0,1.0,0.0,0.0,Hackers Laundering Hundreds Of Millions They Stole From The FTX,1669072023,0
0.0,0.649,0.351,0.4019,How did FTX actually support Solana?,1669207972,1
0.156,0.638,0.206,0.1779,Longterm - FTX no longer hanging over solana will be a good thing.,1668791145,1
0.0,1.0,0.0,0.0,The FTX examiner was a company based in the metaverse.,1669191429,0
0.0,1.0,0.0,0.0,Does FTX/Alameda has still SOL? Or do they sold it already?,1668702788,0
0.0,1.0,0.0,0.0,Mainly just wanted to put this on record but Solana is going right back to prices before the FTX incident.,1669190118,0
0.431,0.569,0.0,-0.6486,Solana Loses 70% TVL As The FTX Contagion Spreads,1668880724,-1
0.147,0.853,0.0,-0.2263,Solana Endures 'Crucible' as FTX Connection Deletes 70% of TVL - The Defiant,1668786434,-1
0.0,0.735,0.265,0.855,"Hey guys! Just saw an amazing review of Solana’s tech, ecosystem, and recent exposure to the FTX/Alameda bankruptcy. Definitely a must-see and please subscribe for more updates on the project! 🚀",1668706524,1
0.0,0.702,0.298,0.1779,Ripple is buying FTX assets,1668919869,1
0.0,1.0,0.0,0.0,Selling of FTX allocation,1669030961,0
0.0,1.0,0.0,0.0,„FTX CEO asked OKX for +$2 billion before contacting Binance - then he called back hours later and asked for even more“,1669027874,0
0.0,1.0,0.0,0.0,"[Coinbureau] Solana Update: FTX, Alameda &amp; Impacts on SOL!",1668702255,0
0.06,0.903,0.037,-0.1779,People called Solana a VC coin because it was backed by SBF. Now SBF is gone (SOLs are frozen for many years because of Chapter11) and people are still complaining. 🤣,1668866813,-1
